TrackStatKey,TrackKey,YT_Views,SC_Plays,SP_Streams,SP_Listeners,SP_Saves,APL_Plays,DateKey
123,13,447,423,NULL,NULL,NULL,NULL,20180602
124,28,186,618,NULL,NULL,NULL,NULL,20180602
125,17,838,687,58,15,7,NULL,20180602
126,10,162,225,NULL,NULL,NULL,NULL,20180602
127,27,52,48,20,8,4,NULL,20180602
128,9,48,32,21,7,4,NULL,20180602
129,14,45,20,6,3,2,NULL,20180602
130,18,35,16,22,2,1,NULL,20180602
131,16,86,144,91,23,10,NULL,20180602
132,4,179,151,186,41,11,NULL,20180602
133,15,94,93,124,26,11,NULL,20180602
134,26,154,93,169,54,20,NULL,20180602
135,24,67,93,55,10,6,NULL,20180602
136,2,70,43,120,23,8,NULL,20180602
137,5,209,584,NULL,NULL,NULL,NULL,20180702
138,25,248,590,32,11,6,NULL,20180702
139,13,451,431,NULL,NULL,NULL,NULL,20180702
140,28,186,621,NULL,NULL,NULL,NULL,20180702
141,17,847,696,62,16,7,NULL,20180702
142,10,164,227,NULL,NULL,NULL,NULL,20180702
143,27,54,48,24,9,4,NULL,20180702
144,9,52,33,21,7,4,NULL,20180702
145,14,47,24,7,3,2,NULL,20180702
146,18,41,21,23,3,1,NULL,20180702
147,11,19,12,21,2,2,NULL,20180702
148,16,89,144,93,24,10,NULL,20180702
149,4,185,152,188,42,11,NULL,20180702
150,15,94,94,127,27,11,NULL,20180702
151,26,155,95,184,61,21,NULL,20180702
152,24,69,93,56,10,6,NULL,20180702
153,2,70,45,125,25,8,NULL,20180702
154,5,225,600,NULL,NULL,NULL,NULL,20181102
155,25,257,618,37,14,5,NULL,20181102
156,13,469,467,11,5,2,NULL,20181102
157,28,193,641,NULL,NULL,NULL,NULL,20181102
158,17,920,765,74,25,7,NULL,20181102
159,10,176,232,NULL,NULL,NULL,NULL,20181102
160,6,52,NULL,NULL,NULL,NULL,NULL,20181102
161,27,62,54,27,10,3,NULL,20181102
162,9,60,36,24,10,4,NULL,20181102
163,14,56,26,11,5,2,NULL,20181102
164,18,51,33,27,6,1,NULL,20181102
165,11,33,18,38,9,3,NULL,20181102
166,1,46,22,NULL,NULL,NULL,NULL,20181102
167,16,99,146,163,29,11,NULL,20181102
168,4,196,157,213,46,10,NULL,20181102
169,15,98,100,159,31,10,NULL,20181102
170,26,190,101,319,93,35,NULL,20181102
171,24,75,95,65,12,6,NULL,20181102
172,2,82,48,158,34,8,NULL,20181102
173,5,230,602,NULL,NULL,NULL,NULL,20181128
174,25,257,619,38,15,5,NULL,20181128
175,13,470,468,NULL,NULL,NULL,NULL,20181128
176,28,196,644,NULL,NULL,NULL,NULL,20181128
177,17,929,771,82,26,7,NULL,20181128
178,10,176,232,NULL,NULL,NULL,NULL,20181128
179,6,62,5,NULL,NULL,NULL,NULL,20181128
180,27,62,56,30,12,3,NULL,20181128
181,9,64,36,24,10,4,NULL,20181128
182,14,59,27,14,6,2,NULL,20181128
183,18,56,37,31,9,1,NULL,20181128
184,11,36,21,38,9,3,NULL,20181128
185,1,52,30,NULL,NULL,NULL,NULL,20181128
186,16,99,148,165,29,11,NULL,20181128
187,4,198,160,219,48,10,NULL,20181128
188,15,98,106,161,31,10,NULL,20181128
189,26,203,107,348,99,35,NULL,20181128
190,24,75,96,65,12,6,NULL,20181128
191,2,85,53,164,35,8,NULL,20181128
192,5,237,605,NULL,NULL,NULL,NULL,20190202
193,25,274,627,49,19,5,13,20190202
194,13,483,477,NULL,NULL,NULL,NULL,20190202
195,28,206,651,NULL,NULL,NULL,NULL,20190202
196,17,1018,797,110,38,10,1120,20190202
197,10,182,240,NULL,NULL,NULL,NULL,20190202
198,22,65,5,139,11,3,4,20190202
199,6,89,16,9,4,3,1,20190202
200,7,338,NULL,NULL,NULL,NULL,NULL,20190202
201,3,96,12,272,23,7,7,20190202
202,20,118,7,149,12,3,3,20190202
203,21,58,8,148,10,5,1,20190202
204,8,114,10,143,11,2,7,20190202
205,27,74,66,30,15,3,7,20190202
206,9,73,47,32,13,4,8,20190202
207,14,70,43,29,11,2,1,20190202
208,18,72,49,41,13,1,10,20190202
209,11,42,30,47,15,4,2,20190202
210,1,75,42,16,9,3,1,20190202
211,16,115,161,185,40,11,31,20190202
212,4,220,171,245,56,10,158,20190202
213,15,108,117,187,42,10,42,20190202
214,26,238,120,461,129,41,201,20190202
215,24,84,107,82,16,6,12,20190202
216,2,100,65,209,46,9,6,20190202
217,5,245,607,NULL,NULL,NULL,NULL,20190302
218,25,283,630,60,23,6,14,20190302
219,13,491,478,NULL,NULL,NULL,NULL,20190302
220,28,209,607,NULL,NULL,NULL,NULL,20190302
221,17,1000,809,158,73,15,1234,20190302
222,10,185,240,NULL,NULL,NULL,NULL,20190302
223,22,71,5,164,15,4,5,20190302
224,6,96,17,14,7,3,1,20190302
